Conference,LongName,City,Url,StartDate,EndDate,AbstractDate,RegDate,InternalDeadline,Info
NEUTRINO'26,"XXXII International Conference on Neutrino Physics and Astrophysics","University of California, Irvine (USA)",https://indico.global/event/15740/,21/06/2026,26/06/2026,15/02/2026,01/06/2026,09/02/2026,Looking for speaker to present SuperNEMO overview talk.
ICHEP2026,"43rd International Conference on High Energy Physics","Natal (Brazil)",https://ichep2026.org/index.html,30/07/2026,05/08/2026,09/02/2026,24/07/2026,09/02/2026,Looking for speaker to present SuperNEMO overview talk.
