Author,Institution,Year,Title,Link,Supervisor
Matteo Ceschia,UCL,2024,Application of Deep Learning Techniques for Identification of Double Beta Decay Events in the SuperNEMO Experiment,https://discovery.ucl.ac.uk/id/eprint/10192929/,Ruben Saakyan and Cheryl Patrick
Xalbat Aguerre,LP2IB,2023,Search for neutrinoless double beta decay of <sup>82</sup>Se with the SuperNEMO experiment : reconstruction of the energy measured with the calorimeter and analysis of the first data from the demonstrator,https://theses.hal.science/tel-04428968,Emmanuel Chauveau and Christine Marquet
William Quinn,UCL,2023,The sensitivity of the NEMO technique to neutrinoless double beta decay and the commissioning of the SuperNEMO demonstrator module,https://discovery.ucl.ac.uk/id/eprint/10169597/,David Waters
Lauren Dawson,UCL,2023,Commissioning and Sensitivity Studies for the SuperNEMO Demonstrator Module,https://discovery.ucl.ac.uk/id/eprint/10171141/2/LaurenDawson_120523.pdf,David Waters
Hamzah Hussain,UCL,2023,Studying the effects of alternative magnetic field configurations on the sensitivity of the SuperNEMO demonstrator to the 0$\nu\beta\beta$ decay of <sup>82</sup>Se ,https://discovery.ucl.ac.uk/id/eprint/10180017/1/Thesis_Final.pdf,Ruben Saakyan
Malak Hoballah,IJC Lab,2022,Characterization of the Timing Properties of the SuperNEMO Demonstrator. Extraction of the SuperNEMO Sensitivity to the Axial-Vector Coupling Constant ,http://nile.hep.utexas.edu/cgi-bin/DocDB/ut-nemo/private/ShowDocument?docid=5628,Laurent Simard
Hichem Tedjditi,CPPM,2021,Optimisation de la reconstruction gamma de l'expérience SuperNEMO en vue de l'étude du bruit de fond. Développement d'un détecteur sphérique proportionnel pour l'étude du radon dans l'expérience SuperNEMO,http://www.theses.fr/s185702,José Busto
